Goal 1 1
Tile Ground2 0 0
Tile Ground3 1 0
Tile Ground2 2 0
Tile Ground3 3 0
Tile Ground2 4 0
Tile Ground3 5 0
Tile Ground2 6 0
Tile Ground3 7 0
Tile Ground2 8 0
Tile Ground3 9 0
Tile Ground2 10 0
Dec Ground4 11 0
Text 2 5 15 Find_arrow_to_break_wall_below
Tile lWall3 0 1
Tile lWall3 0 2
Tile lWall3 0 3
Tile lWall3 0 4
Tile lWall3 0 5
Tile lWall3 0 6
Tile lWall3 0 7
Tile lWall3 0 8
Tile lWall3 0 9
Tile lWall3 0 10
Tile lWall3 0 11
Tile rWall3 10 1
Tile rWall1 10 2
Tile Ground2 1 3
Tile Ground3 2 3
Tile Ground2 3 3
Tile Ground3 4 3
Tile Ground2 5 3
Tile Ground3 6 3
Tile Ground2 7 3
Tile Ground3 8 3
Tile Ground3 10 3
Dec Ground4 11 3
Tile mColumn3 4 1
Tile mColumn3 4 2
Dec Ladder2 9 1
Dec Ladder1 9 2
Dec Ladder1 9 3
Dec bPipe1L 5 2
Dec bPipe1M 6 2
Dec bPipe1R 7 2
Dec bPipe2L 5 1
Dec bPipe2M 6 1
Dec bPipe2R 7 1
Dec Wire1 8 2
Dec Wire2 8 1
Tile rWall3 10 4
Tile rWall3 10 5
Tile rWall3 10 6
Tile rWall3 10 7
Tile rWall3 10 8
Dec Ground1 2 9
Tile Ground2 3 9
Tile Ground3 4 9
Tile Ground2 5 9
Tile Ground3 6 9
Tile Ground2 7 9
Tile Ground3 8 9
Tile Ground2 9 9
Tile Ground3 10 9
Dec Ground4 11 9
Tile Ground2 0 11
Tile Ground3 1 11
Tile Ground2 2 11
Tile Ground3 3 11
Tile Ground2 4 11
Tile Ground3 5 11
Tile Ground2 6 11
Tile Ground3 7 11
Tile Ground2 8 11
Tile Ground3 9 11
Tile Ceiling 9 12
Tile Ceiling 9 13
Tile Ceiling 9 14
Tile Ceiling 9 15
Dec Ground4 10 11
Text 12 8 11 You_might_need_brick_gun_ammo_to_get_back

Dec Ground1 18 6
Tile Ground2 19 6
Tile Ground3 20 6
Tile Ground2 21 6
Tile Ground3 22 6
Tile Ground2 23 6
Tile Ground2 25 6
Tile Ground3 26 6
Tile Ground2 27 6
Tile Ground3 28 6
Tile Ground2 29 6
Dec Ground4 30 6
Tile Ceiling 19 11
Tile Ceiling 20 11
Tile Ceiling 21 11
Tile Ceiling 22 11
Tile Ceiling 23 11
Tile Ceiling 24 11
Tile Ceiling 25 11
Tile Ceiling 26 11
Tile Ceiling 27 11
Tile Ceiling 28 11
Tile Ceiling 29 11
Dec rColumn1L 19 10
Dec rColumn1R 20 10
Dec rColumn2L 19 9
Dec rColumn2R 20 9
Dec rColumn3L 19 8
Dec rColumn3R 20 8
Dec rColumn4L 19 7
Dec rColumn4R 20 7
Dec oWindow1L 21 10
Dec oWindow1M 22 10
Dec oWindow1R 23 10
Dec oWindow2L 21 9
Dec oWindow2M 22 9
Dec oWindow2R 23 9
Dec oWindow3L 21 8
Dec oWindow3M 22 8
Dec oWindow3R 23 8
Dec oWindow4L 21 7
Dec oWindow4M 22 7
Dec oWindow4R 23 7
Dec mColumn4 24 7
Dec mColumn2 24 8
Dec mColumn2 24 9
Dec mColumn1 24 10
Dec hWindow1L 25 10
Dec hWindow1M 26 10
Dec hWindow1R 27 10
Dec hWindow2L 25 9
Dec hWindow2M 26 9
Dec hWindow2R 27 9
Dec hWindow3L 25 8
Dec hWindow3M 26 8
Dec hWindow3R 27 8
Dec hWindow4L 25 7
Dec hWindow4M 26 7
Dec hWindow4R 27 7
Dec lColumn1L 28 10
Dec lColumn2L 28 9
Dec lColumn3L 28 8
Dec lColumn4L 28 7
Tile lWall1 19 5
Tile lWall2 19 4
Tile lWall2 19 2
Tile lWall3 19 1
Tile rWall1 29 5
Tile rWall2 29 4
Tile rWall2 29 2
Tile rWall3 29 1
Dec Ground1 18 0
Tile Ground2 19 0
Tile Ground3 20 0
Tile Ground2 21 0
Tile Ground3 22 0
Tile Ground2 23 0
Tile Ground3 24 0
Tile Ground2 25 0
Tile Ground3 26 0
Tile Ground2 27 0
Tile Ground3 28 0
Tile Ground2 29 0
Dec Ground4 30 0
Dec Ladder1 24 6
Dec Ladder1 24 5
Dec Ladder1 24 4
Dec Ladder1 24 3
Dec Ladder1 24 2
Dec Ladder2 24 1
Dec AC1 22 5
Dec AC2 23 5
Dec AC3 22 4
Dec AC4 23 4
Dec Wire1 21 5
Dec Wire2 21 4
Dec Grate1 20 5
Dec Grate2 20 4
Dec bPipe1L 25 5
Dec bPipe1M 26 5
Dec bPipe1R 27 5
Dec bPipe2L 25 4
Dec bPipe2M 26 4
Dec bPipe2R 27 4
Dec PC1 28 5
Dec PC2 28 4
Dec AC1 27 2
Dec AC2 28 2
Dec AC3 27 1
Dec AC4 28 1
Dec PC1 26 2
Dec PC2 26 1
Dec Wire1 25 2
Dec Wire2 25 1
Dec bPipe1L 20 2
Dec bPipe1M 21 2
Dec bPipe1R 22 2
Dec bPipe2L 20 1
Dec bPipe2M 21 1
Dec bPipe2R 22 1
Dec Wire1 23 2
Dec Wire2 23 1
Tile Ceiling 19 3
Tile Ceiling 20 3
Tile Ceiling 21 3
